id,split,scenario,history_json,current_question,expected_mode,expected_model_called,expected_shop_names,required_terms,notes,expected_shop_ids,actual_mode,rewritten_queries,model_called,valid_model_output,mode_match,model_call_match,constraint_preserved,clarification_correct,pass_through_no_regression,baseline_vector_top3,rewritten_vector_top3,baseline_hybrid_top3,rewritten_hybrid_top3,baseline_vector_hit_at_1,baseline_vector_hit_at_3,rewritten_vector_hit_at_1,rewritten_vector_hit_at_3,baseline_hybrid_hit_at_1,baseline_hybrid_hit_at_3,rewritten_hybrid_hit_at_1,rewritten_hybrid_hit_at_3,original_chars,rewritten_chars,rewrite_ms,fixture_error
QR016,TEST,context-reference,"[{""role"":""assistant"",""content"":""浅草屋寿司有公开探店笔记。""}]",它还有优惠券吗？,REWRITE,true,浅草屋寿司,浅草屋寿司,代词引用需补全店铺实体,8,REWRITE,浅草屋寿司 优惠券,true,true,true,true,true,true,true,1|162|167,8|1|177,1|162|167,8,false,false,true,true,false,false,true,true,8,9,2081,
QR017,TEST,context-reference,"[{""role"":""assistant"",""content"":""第一家是海底捞火锅，第二家是炉鱼。""}]",第二家人均多少？,REWRITE,true,炉鱼,炉鱼,序号引用需补全店铺实体,7,REWRITE,炉鱼人均消费,true,true,true,true,true,true,true,155|159|169,7|4|102,155|159|169,7|4|102,false,false,true,true,false,false,true,true,8,6,2272,
QR018,TEST,context-reference,"[{""role"":""assistant"",""content"":""推荐结果是星聚会KTV。""}]",那里营业到几点？,REWRITE,true,星聚会KTV,星聚会KTV,地点代词需补全店铺实体,14,REWRITE,星聚会KTV 营业时间,true,true,true,true,true,true,true,157|188|177,120|116|111,157|188|177,14,false,false,false,false,false,false,true,true,8,11,2625,
QR019,TEST,context-reference,"[{""role"":""assistant"",""content"":""103茶餐厅人均80元，新白鹿餐厅人均61元。""}]",换一家评分更高的，它在哪里？,REWRITE,true,新白鹿餐厅,新白鹿餐厅,省略表达需继承候选上下文,3,CLARIFY,,true,false,false,true,false,true,true,132|126|12,,132|126|12,,false,false,false,false,false,false,false,false,14,0,2726,
QR020,TEST,context-reference,"[{""role"":""assistant"",""content"":""我刚才介绍的是Mamala西餐厅。""}]",这家店有什么探店评价？,REWRITE,true,Mamala,Mamala,代词引用需补全店铺实体,4,REWRITE,Mamala西餐厅 探店评价,true,true,true,true,true,true,true,107|109|104,4|110|107,107|109|104,4,false,false,true,true,false,false,true,true,11,14,1845,
QR021,DEV,long-noisy,[],我们几个朋友周末准备出去吃饭，前面讨论了很久天气、停车和拍照这些事情，其实这些背景都不是重点。有人喜欢港式餐点，也有人比较在意价格，希望整体不要太贵，最好能在一百元左右解决，而且想看看店里现在有没有可以使用的优惠券。为了安排当天行程，我们还讨论了集合地点、乘坐地铁还是打车、饭后是否继续逛街以及要不要提前订位，这些都与知识库检索无关。请你只帮我查询103茶餐厅的有效优惠信息，其他聊天内容不用参与检索。,REWRITE,true,103茶餐厅,103茶餐厅|优惠,长背景应压缩为单一检索目标,1,REWRITE,103茶餐厅 有效优惠信息,true,true,true,true,true,true,true,1|106|107,1|106|107,1,1,true,true,true,true,true,true,true,true,201,13,1975,
QR022,DEV,long-noisy,[],我今天先坐了很久地铁，路上还处理了不少工作消息，现在只是想尽快决定晚饭去哪里。同行的人没有特别忌口，但大家希望找评分较高、预算不超过一百元的餐厅。出门前我们还讨论了是否带雨伞、在哪里碰面、吃完饭要不要看电影以及晚上几点回家，这些生活安排并不需要进入检索。我们目前关注的是新白鹿餐厅，请帮我查询新白鹿餐厅的人均消费、评分和营业时间，不要把前面的通勤背景作为检索重点。,REWRITE,true,新白鹿餐厅,新白鹿餐厅|100,长背景应压缩为单一检索目标,3,FALLBACK,同行的人没有特别忌口，但大家希望找评分较高、预算不超过一百元的餐厅。 || 我们目前关注的是新白鹿餐厅，请帮我查询新白鹿餐厅的人均消费、评分和营业时间，不要把前面的通勤背景作为检索重点。,true,false,false,true,false,true,true,3|110|101,107|3|4,3,3,true,true,false,true,true,true,true,true,182,89,2679,
QR023,TEST,long-noisy,[],这周工作比较忙，周五晚上想和同事放松一下。大家先聊了唱歌、看电影和散步，最后还是决定优先考虑唱歌。预算方面希望人均不要超过一百元，位置最好在运河上街附近。群聊中还出现了谁负责订包厢、是否购买零食、下班后从哪里出发以及返程交通等内容，这些安排都不是门店检索条件。请把真正的业务条件整理后查询开乐迪KTV的地址、评分和人均消费，不需要保留与工作安排有关的背景。,REWRITE,true,开乐迪KTV,开乐迪KTV|100|运河上街,长背景应压缩并保留实体商圈预算,10,FALLBACK,预算方面希望人均不要超过一百元，位置最好在运河上街附近。 || 群聊中还出现了谁负责订包厢、是否购买零食、下班后从哪里出发以及返程交通等内容，这些安排都不是门店检索条件。 || 请把真正的业务条件整理后查询开乐迪KTV的地址、评分和人均消费，不需要保留与工作安排有关的背景。,true,false,false,true,false,true,true,10|113|120,3|188|10,10,3|188|10,true,true,false,true,true,true,false,true,178,129,2892,
QR024,TEST,long-noisy,[],家里人计划周末聚餐，前面提到了停车、天气、排队和是否要提前出门等很多细节。我们还讨论了谁来接老人、孩子要带哪些东西、吃完饭去哪里散步以及拍合照的时间，这些信息不影响店铺知识查询。真正需要查询的是海底捞火锅当前的营业时间、店铺地址以及人均消费，预算大约两百元以内。请忽略所有行程讨论，只保留和海底捞火锅选择直接相关的检索条件。,REWRITE,true,海底捞火锅,海底捞火锅|200,长背景应压缩并保留实体预算,5,FALLBACK,家里人计划周末聚餐，前面提到了停车、天气、排队和是否要提前出门等很多细节。 || 我们还讨论了谁来接老人、孩子要带哪些东西、吃完饭去哪里散步以及拍合照的时间，这些信息不影响店铺知识查询。 || 真正需要查询的是海底捞火锅当前的营业时间、店铺地址以及人均消费，预算大约两百元以内。,true,false,false,true,false,true,true,5|178|177,188|168|5,5,1|168|5,true,true,false,true,true,true,false,true,162,131,2923,
QR025,TEST,long-noisy,[],我在整理杭州本地生活攻略，文章中已经有很多关于交通、拍照和周末安排的段落，这些内容不需要搜索。编辑还要求统一图片尺寸、调整段落顺序、补充路线说明并检查错别字，这些写作任务也不属于知识库检索，同行人员的集合时间和返程路线同样无需参考。现在缺少一段关于浅草屋寿司的可靠资料，请查询浅草屋寿司的评分、人均价格、地址以及是否存在公开探店笔记，把检索问题控制得简洁明确。,REWRITE,true,浅草屋寿司,浅草屋寿司|探店,长背景应压缩并保留业务目标,8,REWRITE,浅草屋寿司 评分 人均价格 地址 探店笔记,true,true,true,true,true,true,true,8|109|102,8|177|102,8,8,true,true,true,true,true,true,true,true,180,21,1197,
QR026,TEST,long-noisy,[],朋友生日准备找地方唱歌，我们在群里讨论了蛋糕、礼物、集合时间和返程方式，这些都只是背景。有人还在确认邀请名单、布置方式、拍照设备、是否准备小游戏以及聚会结束后的交通安排，这些内容都不应参与店铺向量检索。最终候选是INLOVE KTV，希望确认INLOVE KTV的位置、营业时间和评分，同时预算尽量控制在人均两百元以内。请将问题压缩成适合知识库检索的表达。,REWRITE,true,INLOVE KTV,INLOVE KTV|200,长背景应压缩并保留预算,11,REWRITE,INLOVE KTV 位置 营业时间 评分 人均200元以内,true,true,true,true,true,true,true,11|120|113,11|13|111,11,11,true,true,true,true,true,true,true,true,178,30,2508,
QR027,TEST,long-noisy,[],最近想写一篇关于杭州聚餐场所的笔记，已经收集了不少与天气、路线和拍照角度有关的信息。发布前还要处理封面排版、标题长度、图片清晰度、发布时间和评论区互动方案，这些编辑事项都与店铺检索无关，文章配色、字体选择和发布平台也不需要参与判断。现在只差炉鱼门店的基础资料，希望查询炉鱼的人均消费、评分、营业时间和地址，并确认是否适合多人聚餐。请不要把其他无关背景送去向量检索。,REWRITE,true,炉鱼,炉鱼|聚餐,长背景应压缩为店铺检索目标,7,REWRITE,炉鱼 人均消费 评分 营业时间 地址 适合多人聚餐,true,true,true,true,true,true,true,7|4|188,7|102|4,4|7|1,7|1|2,true,true,true,true,false,true,true,true,182,25,1762,
QR028,TEST,long-noisy,[],周末和朋友准备在商场活动，大家先计划了购物、喝咖啡和看电影，最后晚饭想去一家性价比较高的餐厅。我们还讨论了停车楼入口、电影场次、集合时间、购物清单以及饭后是否继续散步，这些计划不属于店铺知识，同行人员的穿搭和拍照安排也与推荐目标无关。候选是新白鹿餐厅，预算不超过一百元，请查询新白鹿餐厅的评分、地址和营业时间。前面的活动安排只是噪声，不需要参与检索。,REWRITE,true,新白鹿餐厅,新白鹿餐厅|100,长背景应压缩并保留预算,3,FALLBACK,周末和朋友准备在商场活动，大家先计划了购物、喝咖啡和看电影，最后晚饭想去一家性价比较高的餐厅。 || 我们还讨论了停车楼入口、电影场次、集合时间、购物清单以及饭后是否继续散步，这些计划不属于店铺知识，同行人员的穿搭和拍照安排也与推荐目标无关。 || 候选是新白鹿餐厅，预算不超过一百元，请查询新白鹿餐厅的评分、地址和营业时间。,true,false,false,true,false,true,true,3|110|107,107|185|3,3,3|5|1,true,true,false,true,true,true,true,true,175,155,3068,
QR029,TEST,long-noisy,[],我们正在比较几家娱乐门店，聊天里出现了很多关于交通、人数、时间安排和歌曲偏好的描述。群成员还讨论了谁负责付款、是否自带饮料、结束后在哪里集合以及第二天的工作安排，这些内容都不应该进入Embedding。真正想确认的是星聚会KTV的地址、评分和营业时间，而且希望位置在当前商圈内。请提取这个单一目标，避免整段原文直接做Embedding。,REWRITE,true,星聚会KTV,星聚会KTV,长背景不得原样进入Embedding,14,REWRITE,星聚会KTV 地址 评分 营业时间 当前商圈内,true,true,true,true,true,true,true,120|116|115,120|111|116,14,14,false,false,false,false,true,true,true,true,168,23,1310,
QR030,TEST,long-noisy,[],我准备带外地朋友体验杭州本地餐饮，之前写了很长一段关于旅行计划、景点顺序和住宿安排的说明。同行人员还在讨论高铁到达时间、酒店入住、行李寄存、第二天景点以及返程车票，这些旅行信息不应影响餐厅检索，天气预报、行李清单和拍照设备也无需纳入查询。现在只需要查询Mamala西餐厅的人均消费、评分、地址以及公开探店评价，请删除旅行背景并生成独立完整的检索问题。,REWRITE,true,Mamala,Mamala|探店,长背景应压缩为单一检索目标,4,REWRITE,Mamala西餐厅人均消费、评分、地址及公开探店评价,true,true,true,true,true,true,true,4|110|3,4|110|3,4,4,true,true,true,true,true,true,true,true,175,26,1764,
QR031,DEV,multi-intent,[],分别查询103茶餐厅的有效优惠券，同时查询新白鹿餐厅的营业时间。,DECOMPOSE,true,103茶餐厅|新白鹿餐厅,103茶餐厅|新白鹿餐厅,两个独立店铺目标需要拆分,1|3,DECOMPOSE,103茶餐厅的有效优惠券 || 新白鹿餐厅的营业时间,true,true,true,true,true,true,true,1|3|110,1|3|106,1|3,1|3,true,true,true,true,true,true,true,true,32,22,1618,
QR032,DEV,multi-intent,[],查询开乐迪KTV的地址，另外查询浅草屋寿司的公开探店笔记。,DECOMPOSE,true,开乐迪KTV|浅草屋寿司,开乐迪KTV|浅草屋寿司,两个独立店铺目标需要拆分,10|8,DECOMPOSE,查询开乐迪KTV的地址 || 查询浅草屋寿司的公开探店笔记,true,true,true,true,true,true,true,10|177|8,10|8|116,10|8,10|8,true,true,true,true,true,true,true,true,29,25,2108,
QR033,TEST,multi-intent,[],查询炉鱼的人均消费，同时查询海底捞火锅的营业时间。,DECOMPOSE,true,炉鱼|海底捞火锅,炉鱼|海底捞火锅,两个独立店铺目标需要拆分,7|5,DECOMPOSE,炉鱼 人均消费 || 海底捞火锅 营业时间,true,true,true,true,true,true,true,5|7|102,7|5|4,5,7|5|4,true,true,true,true,true,true,true,true,25,17,1657,
QR034,TEST,multi-intent,[],查询INLOVE KTV的评分，另外查询星聚会KTV的地址。,DECOMPOSE,true,INLOVE KTV|星聚会KTV,INLOVE KTV|星聚会KTV,两个独立店铺目标需要拆分,11|14,PASS_THROUGH,查询INLOVE KTV的评分，另外查询星聚会KTV的地址。,false,true,false,false,true,true,true,11|14|120,11|14|120,11|14,11|14,true,true,true,true,true,true,true,true,30,30,0,
QR035,TEST,multi-intent,[],查询103茶餐厅的优惠券，并且查询浅草屋寿司的探店笔记。,DECOMPOSE,true,103茶餐厅|浅草屋寿司,103茶餐厅|浅草屋寿司,优惠与笔记属于不同店铺目标,1|8,DECOMPOSE,103茶餐厅 优惠券 || 浅草屋寿司 探店笔记,true,true,true,true,true,true,true,1|8|106,1|8|106,1|8,1|8,true,true,true,true,true,true,true,true,28,20,2044,
QR036,TEST,multi-intent,[],推荐运河上街人均100元以内的餐厅，同时查询开乐迪KTV几点关门。,DECOMPOSE,true,新白鹿餐厅|开乐迪KTV,运河上街|100|开乐迪KTV,推荐与指定店铺查询需要拆分,3|10,FALLBACK,推荐运河上街人均100元以内的餐厅，同时查询开乐迪KTV几点关门。,true,false,false,true,true,true,true,10|113|115,10|113|115,10,10,true,true,true,true,true,true,true,true,33,33,2565,
QR037,TEST,multi-intent,[],查询Mamala西餐厅的地址，另外查询炉鱼是否有探店笔记。,DECOMPOSE,true,Mamala|炉鱼,Mamala|炉鱼,两个独立店铺目标需要拆分,4|7,DECOMPOSE,Mamala西餐厅的地址 || 炉鱼是否有探店笔记,true,true,true,true,true,true,true,4|7|110,4|7|110,4,4|7|102,true,true,true,true,true,true,true,true,29,21,2514,
QR038,TEST,multi-intent,[],查询海底捞火锅的人均消费，同时查询新白鹿餐厅的评分和营业时间。,DECOMPOSE,true,海底捞火锅|新白鹿餐厅,海底捞火锅|新白鹿餐厅,两个独立店铺目标需要拆分,5|3,FALLBACK,查询海底捞火锅的人均消费，同时查询新白鹿餐厅的评分和营业时间。,true,false,false,true,true,true,true,3|110|5,3|110|5,3|5,3|5,true,true,true,true,true,true,true,true,31,31,2579,
QR039,TEST,multi-intent,[],查询星聚会KTV在哪里，并且查询103茶餐厅现在有什么优惠。,DECOMPOSE,true,星聚会KTV|103茶餐厅,星聚会KTV|103茶餐厅,两个独立店铺目标需要拆分,14|1,DECOMPOSE,星聚会KTV位置 || 103茶餐厅当前优惠,true,true,true,true,true,true,true,1|111|116,120|1|113,14|1,14|1,true,true,false,true,true,true,true,true,30,18,1872,
QR040,TEST,multi-intent,[],查询浅草屋寿司的地址，顺便查询INLOVE KTV的人均消费。,DECOMPOSE,true,浅草屋寿司|INLOVE KTV,浅草屋寿司|INLOVE KTV,两个独立店铺目标需要拆分,8|11,DECOMPOSE,浅草屋寿司 地址 || INLOVE KTV 人均消费,true,true,true,true,true,true,true,8|11|177,8|11|177,11|8,8|11,true,true,true,true,true,true,true,true,31,23,1708,
QR041,DEV,inherited-constraint,"[{""role"":""user"",""content"":""推荐运河上街适合朋友聚餐、人均100元以内的餐厅。""},{""role"":""assistant"",""content"":""可以考虑103茶餐厅和新白鹿餐厅。""}]",第二家有优惠券吗？,REWRITE,true,新白鹿餐厅,新白鹿餐厅|运河上街|100,继承店铺商圈和预算条件,3,CLARIFY,,true,false,false,true,false,true,true,1|158|177,,1|158|177,,false,false,false,false,false,false,false,false,9,0,2707,
QR042,DEV,inherited-constraint,"[{""role"":""user"",""content"":""推荐运河上街的KTV，但不要开乐迪。""},{""role"":""assistant"",""content"":""可以考虑INLOVE KTV。""}]",它几点关门？,REWRITE,true,INLOVE KTV,INLOVE KTV|运河上街|开乐迪,继承商圈与排除条件,11,CLARIFY,,true,false,false,true,false,true,true,132|115|188,,132|115|188,,false,false,false,false,false,false,false,false,6,0,2816,
QR043,TEST,inherited-constraint,"[{""role"":""user"",""content"":""想找人均200元以内适合聚餐的餐厅。""},{""role"":""assistant"",""content"":""第一家是炉鱼，第二家是海底捞火锅。""}]",第一家的地址在哪里？,REWRITE,true,炉鱼,炉鱼|200|聚餐,继承预算和用途,7,REWRITE,炉鱼的地址在哪里？,true,true,true,true,false,true,true,158|143|162,7|4|102,158|143|162,7|4|102,false,false,true,true,false,false,true,true,10,9,2401,
QR044,TEST,inherited-constraint,"[{""role"":""user"",""content"":""想找运河上街附近的KTV，排除星聚会KTV。""},{""role"":""assistant"",""content"":""可以考虑开乐迪KTV和INLOVE KTV。""}]",第二家评分怎么样？,REWRITE,true,INLOVE KTV,INLOVE KTV|运河上街|星聚会KTV,继承商圈与排除条件,11,REWRITE,运河上街附近 INLOVE KTV 评分,true,true,true,true,false,true,true,126|174|158,11|10|13,126|174|158,11,false,false,true,true,false,false,true,true,9,20,3667,
QR045,TEST,inherited-constraint,"[{""role"":""user"",""content"":""找评分较高且人均100元以内的餐厅。""},{""role"":""assistant"",""content"":""新白鹿餐厅比较符合。""}]",那家店几点关门？,REWRITE,true,新白鹿餐厅,新白鹿餐厅|100,继承预算条件,3,REWRITE,新白鹿餐厅几点关门？,true,true,true,true,false,true,true,177|171|179,3|110|199,177|171|179,3,false,false,true,true,false,false,true,true,8,10,2560,
QR046,TEST,ambiguous,[],它有什么优惠券？,CLARIFY,false,,,没有上下文时直接澄清且不调用模型,,CLARIFY,,false,true,true,true,true,true,true,1|162|167,,1|162|167,,,,,,,,,,8,0,0,
QR047,TEST,ambiguous,[],第二家在哪里？,CLARIFY,false,,,没有候选列表时直接澄清且不调用模型,,CLARIFY,,false,true,true,true,true,true,true,174|161|188,,174|161|188,,,,,,,,,,7,0,0,
QR048,TEST,ambiguous,[],那家店几点关门？,CLARIFY,false,,,没有上下文时直接澄清且不检索,,CLARIFY,,false,true,true,true,true,true,true,177|171|179,,177|171|179,,,,,,,,,,8,0,0,
QR049,TEST,ambiguous,[],换一家更便宜的。,CLARIFY,false,,,缺少原候选与预算时直接澄清,,CLARIFY,,false,true,true,true,true,true,true,124|155|174,,124|155|174,,,,,,,,,,8,0,0,
QR050,TEST,ambiguous,[],那里有什么探店笔记？,CLARIFY,false,,,没有地点实体时直接澄清,,CLARIFY,,false,true,true,true,true,true,true,4|136|177,,4|136|177,,,,,,,,,,10,0,0,
