id,scenario,question,expected_shop_ids,expected_facts,snapshot_at,vector_top3,hybrid_top3,vector_hit_at_1,vector_hit_at_3,hybrid_hit_at_1,hybrid_hit_at_3,no_result_review,notes
17,voucher,103茶餐厅的100元券有效期到什么时候？,1,店铺1；当前有效券结束时间2026-10-26,2026-07-23T15:50:00,1|2|3,1,true,true,true,true,,
18,voucher,103茶餐厅有没有无需预约的优惠券？,1,店铺1；50元券规则包含无需预约,2026-07-23T15:50:00,1|3|4,1,true,true,true,true,,
19,blog,103茶餐厅有探店笔记吗？,1,店铺1存在博客5、42、46、47等公开笔记,2026-07-23T15:50:00,1|4|3,1,true,true,true,true,,
20,blog,Mamala有探店笔记吗？,4,店铺4存在博客4、43,2026-07-23T15:50:00,4|1|3,4,true,true,true,true,,
21,blog,海底捞水晶城店有探店笔记吗？,5,店铺5存在博客44,2026-07-23T15:50:00,5|11|1,5,true,true,true,true,,
22,blog,开乐迪KTV有公开笔记吗？,10,店铺10存在博客6、7、48,2026-07-23T15:50:00,10|12|13,10,true,true,true,true,,
23,no-result,不存在的火星餐厅有什么优惠？,,当前14家店铺中不存在火星餐厅,2026-07-23T15:50:00,4|1|9,,,,,,pass,人工端到端验证：空召回后直接拒答，未生成无关店铺事实
24,no-result,西湖银泰的午夜KTV有什么优惠？,,当前数据中没有西湖银泰或午夜KTV,2026-07-23T15:50:00,12|10|14,,,,,,pass,人工端到端验证：空召回后直接拒答，未生成无关店铺事实
25,no-result,猫咪咖啡馆在运河上街吗？,,当前数据中没有猫咪咖啡馆,2026-07-23T15:50:00,10|4|3,,,,,,pass,人工端到端验证：空召回后直接拒答，未生成无关店铺事实
26,no-result,人均30的米其林三星法餐在哪里？,,当前数据中没有米其林三星法餐,2026-07-23T15:50:00,4|1|3,,,,,,pass,人工端到端验证：空召回后直接拒答，未生成无关店铺事实
27,recommend,推荐适合朋友聚餐、人均200的餐厅。,1|2|3|5|6|7|8|9,可返回人均不高于200的餐厅并说明人均、评分、商圈,2026-07-23T15:50:00,4|1|3,1|3|7,false,true,true,true,,
28,recommend,运河上街两个人吃饭，人均100推荐哪家？,3|8|9,店铺3人均61、8人均88、9人均101且均位于运河上街,2026-07-23T15:50:00,3|4|9,3|8|10,true,true,true,true,,
29,recommend,朋友夜宵想吃火锅，人均130推荐哪家？,5|6|9,店铺5海底捞人均104、6涮锅人均130、9羊蝎子火锅人均101,2026-07-23T15:50:00,9|1|6,5|9|1,true,true,true,true,,
30,recommend,周末唱K人均80推荐哪家？,10|11|12|13|14,店铺10、11、12、13、14均为KTV且人均不高于88元,2026-07-23T15:50:00,12|10|13,10|11|13,true,true,true,true,,
31,shop-name,炉鱼（拱墅万达广场店）人均多少钱？,7,店铺7；炉鱼；北部新城；人均85元,2026-07-23T15:50:00,7|4|14,7,true,true,true,true,,
32,shop-name,INLOVE KTV在水晶城吗？,11,店铺11；INLOVE KTV；水晶城；人均75元,2026-07-23T15:50:00,11|13|12,11,true,true,true,true,,
33,shop-name,星聚会KTV在哪个商圈？,14,店铺14；星聚会KTV；北部新城；人均60元,2026-07-23T15:50:00,14|13|12,14,true,true,true,true,,
34,shop-name,蔡馬洪涛烤肉晚上营业到几点？,2,店铺2；蔡馬洪涛烤肉；营业至03:00；拱宸桥/上塘,2026-07-23T15:50:00,2|4|1,2,true,true,true,true,,
35,category-area,北部新城附近可以唱歌的地方有哪些？,14,店铺14；星聚会KTV；北部新城；人均60元,2026-07-23T15:50:00,13|14|12,14|10|11,false,true,true,true,,
36,category-area,水晶城晚上的KTV推荐？,11,店铺11；INLOVE KTV；水晶城；营业至06:00,2026-07-23T15:50:00,11|12|13,11|10|13,true,true,true,true,,
37,category-area,运河上街的寿司店有哪些？,8,店铺8；浅草屋寿司；运河上街；人均88元,2026-07-23T15:50:00,8|3|9,3|8|9,true,true,false,true,,
38,category-area,拱宸桥上塘附近有什么烤肉？,2,店铺2；蔡馬洪涛烤肉；拱宸桥/上塘；人均85元,2026-07-23T15:50:00,2|6|7,2|4|6,true,true,true,true,,
39,budget,人均不超过90元的餐厅有哪些？,1|2|3|7|8,可返回人均不高于90元的美食店铺；不应返回人均290元的店铺,2026-07-23T15:50:00,1|4|3,1|3|2,true,true,true,true,,
40,budget,预算100元以内在北部新城吃饭推荐哪家？,7,店铺7；北部新城；人均85元；美食,2026-07-23T15:50:00,1|3|13,7|1|2,false,false,true,true,,
41,budget,水晶城人均不超过80元的KTV有哪些？,11,店铺11；水晶城；KTV；人均75元,2026-07-23T15:50:00,11|12|13,11|10|13,true,true,true,true,,
42,budget,两个人在运河上街吃饭预算90元以内。,3|8,店铺3人均61元、店铺8人均88元；均在运河上街,2026-07-23T15:50:00,3|8|9,3|8|10,true,true,true,true,,
43,voucher,103茶餐厅的代金券需要预约吗？,1,店铺1；50元代金券规则包含无需预约,2026-07-23T15:50:00,1|13|10,1,true,true,true,true,,
44,voucher,103茶餐厅的优惠券可以提现吗？,1,店铺1；优惠券规则包含不兑现和不找零,2026-07-23T15:50:00,1|4|3,1,true,true,true,true,,
45,blog,海底捞火锅有公开探店笔记吗？,5,店铺5；存在公开探店笔记；博客44,2026-07-23T15:50:00,5|1|4,5,true,true,true,true,,
46,no-result,不存在的银河餐厅营业到几点？,,当前14家店铺中不存在银河餐厅,2026-07-23T15:50:00,1|4|3,,,,,,pass,混合检索空召回；聊天层 directResponse 分支返回未找到资料且不注入无关店铺
47,no-result,北部新城的深夜KTV有什么优惠？,,当前数据中没有北部新城的深夜KTV,2026-07-23T15:50:00,13|12|14,,,,,,pass,混合检索空召回；聊天层 directResponse 分支返回未找到资料且不注入无关店铺
48,no-result,月球咖啡馆有探店笔记吗？,,当前数据中没有月球咖啡馆,2026-07-23T15:50:00,4|1|10,,,,,,pass,混合检索空召回；聊天层 directResponse 分支返回未找到资料且不注入无关店铺
49,recommend,北部新城朋友聚餐人均100推荐餐厅。,7,店铺7；北部新城；人均85元；适合作为预算内餐饮候选,2026-07-23T15:50:00,1|3|4,7|1|3,false,false,true,true,,
50,recommend,水晶城两个人唱K预算80元推荐哪家？,11,店铺11；水晶城；KTV；人均75元,2026-07-23T15:50:00,11|12|13,11|10|13,true,true,true,true,,
